offer_idx,b,r_x,r_y,env_id,mu_true_mean,mu_true_noise,regret_t,EV,Q_star,o_star,regret_exp,ece,mismatch,policy_error,regret_bound_t,temperature,model,L_eff,C,rho,slack,covered,t,trial,cum_regret,cum_regret_bound,history_length,intervention_mode,intervention_applied
0,1,3,2,general,"[0.5, 0.5]","[0.5754519731100167, 0.42454802688998333]",2.4997781622460025e-12,3.4999999999975,3.5,0,2.4997781622460025e-12,0.0,0.027346786795182883,0.02734678679618287,0.21877429436546303,0.8,gpt-4o,4,0.7142857142857143,218774294.36546302,0.21877429436296325,True,1,0,2.4997781622460025e-12,0.21877429436546303,5,none,False
1,0,2,3,general,"[0.5, 0.5]","[0.7258917777154578, 0.27410822228454224]",2.4999999999974998,1.0000000000025,3.5,0,2.4999999999974998,0.30000000000000004,0.9820137900369085,0.02734678679618287,4.894585164475223,0.8,gpt-4o,4,0.7142857142857143,1.9578340657920472,2.394585164477723,True,2,0,2.4999999999999996,5.113359458840686,5,none,False
1,1,0,0,general,"[0.5, 0.5]","[0.3628198208517387, 0.6371801791482613]",1.25,2.25,3.5,0,1.25,0.0,0.47265321320381715,0.02734678679618287,2.0,0.8,gpt-4o,4,0.7142857142857143,1.6,0.75,True,3,0,3.7499999999999996,7.113359458840686,5,none,False
1,0,2,3,general,"[0.5, 0.5]","[0.474818132821633, 0.525181867178367]",1.25,2.25,3.5,0,1.25,0.09999999999999998,0.4762070576018354,0.02734678679618287,2.299929663306359,0.8,gpt-4o,4,0.7142857142857143,1.839943730645087,1.0499296633063588,True,4,0,5.0,9.413289122147045,5,none,False
0,0,4,4,general,"[0.5, 0.5]","[0.7250669927658224, 0.27493300723417763]",2.4997781622460025e-12,3.4999999999975,3.5,0,2.4997781622460025e-12,0.0,0.027346786795182883,0.02734678679618287,0.21877429436546303,0.8,gpt-4o,4,0.7142857142857143,218774294.36546302,0.21877429436296325,True,5,0,5.000000000002499,9.632063416512509,5,none,False
1,0,2,3,general,"[0.5, 0.5]","[0.6356353229130899, 0.3643646770869101]",1.75,1.75,3.5,0,1.75,0.09999999999999998,0.6762070576018354,0.02734678679618287,3.0999296633063587,0.8,gpt-4o,4,0.7142857142857143,1.771388379032205,1.3499296633063587,True,6,0,6.750000000002499,12.731993079818867,5,none,False
0,1,3,2,general,"[0.5, 0.5]","[0.7044086818433666, 0.2955913181566335]",2.4997781622460025e-12,3.4999999999975,3.5,0,2.4997781622460025e-12,0.09999999999999998,0.03141437103057016,0.02734678679618287,0.5207589170212977,0.8,gpt-4o,4,0.7142857142857143,520758917.0212977,0.520758917018798,True,7,0,6.750000000004999,13.252751996840164,5,none,False
1,0,2,3,general,"[0.5, 0.5]","[0.7684221490484271, 0.23157785095157293]",1.5,2.0,3.5,0,1.5,0.07142857142857142,0.5752403680213274,0.02734678679618287,2.6144302519231024,0.8,gpt-4o,4,0.7142857142857143,1.7429535012820683,1.1144302519231024,True,8,0,8.250000000004999,15.867182248763267,5,none,False
0,0,4,4,general,"[0.5, 0.5]","[0.6259097875447862, 0.3740902124552138]",2.4997781622460025e-12,3.4999999999975,3.5,0,2.4997781622460025e-12,0.125,0.03251944391483118,0.02734678679618287,0.5966077799869134,0.8,gpt-4o,4,0.7142857142857143,596607779.9869133,0.5966077799844136,True,9,0,8.250000000007498,16.463790028750182,5,none,False
0,1,3,2,general,"[0.5, 0.5]","[0.5008989002859634, 0.49910109971403666]",2.4997781622460025e-12,3.4999999999975,3.5,0,2.4997781622460025e-12,0.1666666667,0.03444519566679493,0.02734678679618287,0.7233584061376255,0.8,gpt-4o,4,0.7142857142857143,723358406.1376255,0.7233584061351257,True,10,0,8.250000000009997,17.187148434887806,5,none,False
1,1,0,0,general,"[0.5, 0.5]","[0.3373358801411138, 0.6626641198588862]",2.4999999999974998,1.0000000000025,3.5,0,2.4999999999974998,0.0,0.9726532132028172,0.02734678679618287,3.999999999996,0.8,gpt-4o,4,0.7142857142857143,1.6,1.4999999999985003,True,1,1,2.4999999999974998,3.999999999996,5,none,False
0,1,3,2,general,"[0.5, 0.5]","[0.37372900439184864, 0.6262709956081514]",2.4997781622460025e-12,3.4999999999975,3.5,0,2.4997781622460025e-12,0.19999999999999998,0.020691112269087958,0.02734678679618287,0.7635801676896548,0.8,gpt-4o,4,0.7142857142857143,763580167.6896547,0.763580167687155,True,2,1,2.4999999999999996,4.763580167685655,5,none,False
0,1,3,2,general,"[0.5, 0.5]","[0.2462608554963892, 0.7537391445036108]",2.4997781622460025e-12,3.4999999999975,3.5,0,2.4997781622460025e-12,0.30000000000000004,0.017986209961091557,0.02734678679618287,1.0384748441719551,0.8,gpt-4o,4,0.7142857142857143,1038474844.1719551,1.0384748441694553,True,3,1,2.5000000000024993,5.80205501185761,5,none,False
1,0,2,3,general,"[0.5, 0.5]","[0.5991375866224309, 0.4008624133775691]",2.4999999999974998,1.0000000000025,3.5,0,2.4999999999974998,0.4,0.9843707299515929,0.02734678679618287,5.189727209848246,0.8,gpt-4o,4,0.7142857142857143,2.0758908839413746,2.689727209850746,True,4,1,4.999999999999999,10.991782221705856,5,none,False
1,0,2,3,general,"[0.5, 0.5]","[0.07178762093411473, 0.9282123790658853]",2.4999999999974998,1.0000000000025,3.5,0,2.4999999999974998,0.25,0.9807077572746677,0.02734678679618287,4.746503890569117,0.8,gpt-4o,4,0.7142857142857143,1.8986015562295455,2.246503890571617,True,5,1,7.499999999997499,15.738286112274974,5,none,False
1,1,0,0,general,"[0.5, 0.5]","[0.46399375130054443, 0.5360062486994556]",2.0,1.5,3.5,0,2.0,0.09999999999999998,0.7762070576018354,0.02734678679618287,3.4999296633063586,0.8,gpt-4o,4,0.7142857142857143,1.7499648316531793,1.4999296633063586,True,6,1,9.499999999997499,19.23821577558133,5,none,False
1,1,0,0,general,"[0.5, 0.5]","[0.18494633023339158, 0.8150536697666084]",2.4999999999974998,1.0000000000025,3.5,0,2.4999999999974998,0.19999999999999998,0.979308887728912,0.02734678679618287,4.598051269528951,0.8,gpt-4o,4,0.7142857142857143,1.8392205078134198,2.0980512695314513,True,7,1,11.999999999994998,23.836267045110283,5,none,False
1,0,2,3,general,"[0.5, 0.5]","[0.8488187048904017, 0.1511812951095983]",2.4999999999974998,1.0000000000025,3.5,0,2.4999999999974998,0.19999999999999998,0.979308887728912,0.02734678679618287,4.598051269528951,0.8,gpt-4o,4,0.7142857142857143,1.8392205078134198,2.0980512695314513,True,8,1,14.499999999992497,28.434318314639235,5,none,False
1,0,2,3,general,"[0.5, 0.5]","[0.7035068954555301, 0.2964931045444698]",2.4999999999974998,1.0000000000025,3.5,0,2.4999999999974998,0.25,0.9807077572746677,0.02734678679618287,4.746503890569117,0.8,gpt-4o,4,0.7142857142857143,1.8986015562295455,2.246503890571617,True,9,1,16.999999999989996,33.18082220520835,5,none,False
1,1,0,0,general,"[0.5, 0.5]","[0.3584812851635826, 0.6415187148364174]",2.4999999999974998,1.0000000000025,3.5,0,2.4999999999974998,0.060000000000000026,0.9748430640704315,0.02734678679618287,4.180187974895029,0.8,gpt-4o,4,0.7142857142857143,1.6720751899596837,1.680187974897529,True,10,1,19.499999999987494,37.36101018010338,5,none,False
